oris,fuel_gen,id_gen,status_gen,mover_gen,capacity_gen,generation_gen,year_online,fuel_cat_gen,name_plant,id_operator,lat,lon,state,fips_state,fips_county,region_nerc,subregion_egrid,fuel_cat_plant,capacity_plant,i_big,i_operating,fips,dist_plant_county,dist_plant_state
1391,PRG,1A,OP,ST,23,0,1951,OTHER,Louisiana 1,11241,30.4922,-91.1864,LA,22,033,SERC,SRMV,OTHF,450.9,0,1,22033,1.01507372151195,56.2001304731069
1391,PRG,2A,OP,ST,62.5,280279,1954,OTHER,Louisiana 1,11241,30.4922,-91.1864,LA,22,033,SERC,SRMV,OTHF,450.9,1,1,22033,1.01507372151195,56.2001304731069
1391,PRG,3A,OP,ST,63,486290,1954,OTHER,Louisiana 1,11241,30.4922,-91.1864,LA,22,033,SERC,SRMV,OTHF,450.9,1,1,22033,1.01507372151195,56.2001304731069
1391,PRG,4A,OP,GT,129.1,876185.989,1987,OTHER,Louisiana 1,11241,30.4922,-91.1864,LA,22,033,SERC,SRMV,OTHF,450.9,1,1,22033,1.01507372151195,56.2001304731069
1391,PRG,5A,OP,GT,173.3,1176166.011,1999,OTHER,Louisiana 1,11241,30.4922,-91.1864,LA,22,033,SERC,SRMV,OTHF,450.9,1,1,22033,1.01507372151195,56.2001304731069
10612,BLQ,GEN1,OP,ST,67.7,381242,1986,BIOMASS,Georgia-Pacific Port Hudson,11241,30.6547,-91.28,LA,22,033,SERC,SRMV,OIL,127.7,1,1,22033,1.27141039300748,38.1818827070849
10612,PC,GEN2,OP,ST,60,283720,2007,OIL,Georgia-Pacific Port Hudson,11241,30.6547,-91.28,LA,22,033,SERC,SRMV,OIL,127.7,1,1,22033,1.27141039300748,38.1818827070849
10690,NG,CTG1,OP,GT,85.3,648650,1990,GAS,ExxonMobil Baton Rouge Turbine Generator,55936,30.489722,-91.187222,LA,22,033,SERC,SRMV,GAS,85.3,1,1,22033,0.932194877952387,56.4744934705258
54518,NG,GT2,SB,GT,38,137872.708,1990,GAS,Formosa Plastics,55936,30.4992,-91.1872,LA,22,033,SERC,SRMV,GAS,139,1,1,22033,0.949673922973061,55.4237973080653
54518,NG,GT3,OP,GT,38.8,140775.292,1996,GAS,Formosa Plastics,55936,30.4992,-91.1872,LA,22,033,SERC,SRMV,GAS,139,1,1,22033,0.949673922973061,55.4237973080653
54518,NG,ST1,OP,ST,12,39714,1985,GAS,Formosa Plastics,55936,30.4992,-91.1872,LA,22,033,SERC,SRMV,GAS,139,0,1,22033,0.949673922973061,55.4237973080653
54518,NG,ST2,OP,ST,12,39000,1990,GAS,Formosa Plastics,55936,30.4992,-91.1872,LA,22,033,SERC,SRMV,GAS,139,0,1,22033,0.949673922973061,55.4237973080653
54518,NG,GT1,RE,GT,38.2,,1985,GAS,Formosa Plastics,55936,30.4992,-91.1872,LA,22,033,SERC,SRMV,GAS,139,1,0,22033,0.949673922973061,55.4237973080653
58428,NG,1-02,OP,GT,19.6,121654,2004,GAS,LSU Cogen,55936,30.410556,-91.181389,LA,22,033,SERC,SRMV,GAS,19.6,0,1,22033,2.00312303659983,65.2466892961458
