start,stop,n
1,32,1
33,64,2
65,96,3
97,128,4
129,160,5
161,192,6
193,224,7
225,256,8
257,288,9
289,320,10
321,352,11
353,384,12
385,416,13
417,448,14
449,480,15
481,512,16
513,544,17
545,576,18
577,608,19
609,640,20
641,672,21
673,704,22
705,736,23
737,768,24
769,800,25
801,832,26
833,864,27
865,896,28
897,928,29
929,960,30
961,992,31
993,1024,32
1025,1056,33
1057,1088,34
1089,1120,35
1121,1152,36
1153,1184,37
1185,1216,38
1217,1248,39
1249,1280,40
1281,1312,41
1313,1344,42
1345,1376,43
1377,1408,44
1409,1440,45
1441,1472,46
1473,1504,47
1505,1536,48
1537,1568,49
1569,1600,50
1601,1632,51
1633,1664,52
1665,1696,53
1697,1728,54
1729,1760,55
1761,1792,56
1793,1824,57
1825,1856,58
1857,1888,59
1889,1920,60
1921,1952,61
1953,1984,62
1985,2016,63
2017,2048,64
2049,2080,65
2081,2112,66
2113,2144,67
2145,2176,68
2177,2208,69
2209,2240,70
2241,2272,71
2273,2304,72
2305,2336,73
2337,2368,74
2369,2400,75
2401,2432,76
2433,2464,77
2465,2496,78
2497,2528,79
2529,2560,80
2561,2592,81
2593,2624,82
2625,2656,83
2657,2688,84
2689,2720,85
2721,2752,86
2753,2784,87
2785,2816,88
2817,2848,89
2849,2880,90
2881,2912,91
2913,2944,92
2945,2976,93
2977,3008,94
3009,3040,95
3041,3072,96
3073,3104,97
3105,3136,98
3137,3168,99
3169,3200,100
3201,3232,101
3233,3264,102
3265,3296,103
3297,3328,104
3329,3360,105
3361,3392,106
3393,3424,107
3425,3456,108
3457,3488,109
3489,3520,110
3521,3552,111
3553,3584,112
3585,3616,113
3617,3648,114
3649,3680,115
3681,3712,116
3713,3744,117
3745,3776,118
3777,3808,119
3809,3840,120
3841,3872,121
3873,3904,122
3905,3936,123
3937,3968,124
3969,4000,125
4001,4032,126
4033,4064,127
4065,4096,128
4097,4128,129
4129,4160,130
4161,4192,131
4193,4224,132
4225,4256,133
4257,4288,134
4289,4320,135
4321,4352,136
4353,4384,137
4385,4416,138
4417,4448,139
4449,4480,140
4481,4512,141
4513,4544,142
4545,4576,143
4577,4608,144
4609,4640,145
4641,4672,146
4673,4704,147
4705,4736,148
