"STATE CODE (FIPS)","PUMA code from 1990 5% (A) Sample","county","1990 POP","apuma to county allocation factor"
"01","00100","01033",51666,0.3934 
"01","00100","01077",79661,0.6066 
"01","00200","01059",27814,0.2366 
"01","00200","01127",67670,0.5757 
"01","00200","01133",22053,0.1876 
"01","00300","01007",16576,0.1311 
"01","00300","01057",17962,0.1421 
"01","00300","01063",10153,0.0803 
"01","00300","01065",15498,0.1226 
"01","00300","01075",15715,0.1243 
"01","00300","01093",29830,0.2359 
"01","00300","01107",20699,0.1637 
"01","00400","01125",150522,1 
"01","00500","01047",48130,0.4806 
"01","00500","01091",23084,0.2305 
"01","00500","01105",12759,0.1274 
"01","00500","01119",16174,0.1615 
"01","00600","01023",16018,0.1436 
"01","00600","01025",27240,0.2442 
"01","00600","01035",14054,0.126 
"01","00600","01099",23968,0.2149 
"01","00600","01129",16694,0.1497 
"01","00600","01131",13568,0.1216 
"01","00700","01097",378643,1 
"01","00800","01003",98280,0.7345 
"01","00800","01053",35518,0.2655 
"01","00900","01031",40240,0.4009 
"01","00900","01039",36478,0.3635 
"01","00900","01061",23647,0.2356 
"01","01000","01011",11042,0.0988 
"01","01000","01013",21892,0.1959 
"01","01000","01041",13635,0.122 
"01","01000","01085",12658,0.1133 
"01","01000","01087",24928,0.2231 
"01","01000","01109",27595,0.2469 
"01","01100","01005",25417,0.148 
"01","01100","01045",49633,0.289 
"01","01100","01067",15374,0.0895 
"01","01100","01069",81331,0.4735 
"01","01200","01081",87146,0.6503 
"01","01200","01113",46860,0.3497 
"01","01300","01101",209085,1 
"01","01400","01017",36876,0.3458 
"01","01400","01037",11063,0.1037 
"01","01400","01111",19881,0.1864 
"01","01400","01123",38826,0.3641 
"01","01500","01001",34222,0.2953 
"01","01500","01021",32458,0.2801 
"01","01500","01051",49210,0.4246 
"01","01600","01027",13252,0.1324 
"01","01600","01029",12730,0.1272 
"01","01600","01121",74107,0.7404 
"01","01700","01115",50009,0.3348 
"01","01700","01117",99358,0.6652 
"01","01801","01073",121643,1 
"01","01802","01073",116985,1 
"01","01803","01073",102423,1 
"01","01804","01073",102556,1 
"01","01805","01073",103424,1 
"01","01806","01073",104494,1 
"01","01900","01015",116034,1 
"01","02000","01019",19543,0.1637 
"01","02000","01055",99840,0.8363 
"01","02100","01009",39248,0.3673 
"01","02100","01043",67613,0.6327 
"01","02200","01049",54651,0.3154 
"01","02200","01071",47796,0.2758 
"01","02200","01095",70832,0.4088 
"01","02300","01083",54135,0.1847 
"01","02300","01089",238912,0.8153 
"01","02400","01079",31513,0.2395 
"01","02400","01103",100043,0.7605 
"02","00101","02020",109196,1 
"02","00102","02020",117142,1 
"02","00200","02090",77720,0.3748 
"02","00200","02110",26751,0.129 
"02","00200","02122",40802,0.1968 
"02","00200","02130",13828,0.0667 
"02","00200","02170",39683,0.1914 
"02","00200","02220",8588,0.0414 
"02","00300","02013",2464,0.0212 
"02","00300","02016",9478,0.0815 
"02","00300","02050",13656,0.1174 
"02","00300","02060",1410,0.0121 
"02","00300","02070",4012,0.0345 
"02","00300","02100",2117,0.0182 
"02","00300","02150",13309,0.1144 
"02","00300","02164",1668,0.0143 
"02","00300","02180",8288,0.0712 
"02","00300","02185",5979,0.0514 
"02","00300","02188",6113,0.0525 
"02","00300","02201",6278,0.054 
"02","00300","02231",4385,0.0377 
"02","00300","02240",5913,0.0508 
"02","00300","02261",9952,0.0855 
"02","00300","02270",5791,0.0498 
"02","00300","02280",7042,0.0605 
"02","00300","02290",8478,0.0729 
"04","00101","04013",124984,1 
"04","00102","04013",109175,1 
"04","00103","04013",126960,1 
"04","00104","04013",125406,1 
"04","00105","04013",122332,1 
"04","00106","04013",128910,1 
"04","00107","04013",122494,1 
"04","00108","04013",127298,1 
"04","00109","04013",103669,1 
"04","00110","04013",100365,1 
"04","00111","04013",153738,1 
"04","00112","04013",165811,1 
"04","00113","04013",147881,1 
"04","00114","04013",202836,1 
