KEY UNIT ID,ORIS CODE,LOCATION IDENTIFIER,DUCT IND,BYPASS IND,STACK HEIGHT,SHAPE CD,BEGIN DATE,END DATE,MATERIAL CD,CROSS AREA FLOW,CROSS AREA EXIT,GROUND ELEVATION
1,3,CS0AAN,1,,600,RECT,1/1/1995,,OTHER,600,517,21
2,3,CS0AAN,1,,600,RECT,1/1/1995,,OTHER,600,517,21
3,3,CS0AAN,1,,600,RECT,1/1/1995,,OTHER,600,517,21
4,3,4,0,0,600,ROUND,1/1/1995,,BRICK,254,147,22
4,3,"MS4A,MS4B",1,0,600,RECT,1/1/1995,,OTHER,184,147,22
5,3,5,1,0,600,RECT,1/1/1995,9/30/2019,OTHER,887,491,25
5,3,5,0,0,600,ROUND,10/1/2019,,OTHER,755,755,22
5,3,MS5A,1,,600,RECT,1/1/1995,3/29/2008,OTHER,282,491,22
5,3,MS5B,1,,600,RECT,1/1/1995,3/29/2008,OTHER,299,491,22
5,3,MS5C,0,0,600,ROUND,1/1/2010,9/30/2019,OTHER,755,755,22
5,3,MS5D,1,1,600,RECT,1/1/2010,9/30/2019,OTHER,887,491,25
5,3,MS5E,1,,259,ROUND,4/1/2011,9/30/2019,OTHER,24,20,22
6,3,6A,,,121,,6/12/2000,,,,216,25
7,3,6B,,,121,,6/12/2000,,,,216,25
8,3,7A,,,121,,4/13/2001,,,,216,25
9,3,7B,,,121,,4/13/2001,,,,216,25
11,7,1,1,0,300,RECT,11/15/1993,12/31/2008,OTHER,110,177,529
11,7,CS0BAN,0,0,300,ROUND,1/1/2009,,BRICK,177,177,529
12,7,2,1,0,300,RECT,11/15/1993,12/31/2008,OTHER,110,177,529
12,7,CS0BAN,0,0,300,ROUND,1/1/2009,,BRICK,177,177,529
13,8,CS0DCN,0,0,750,ROUND,10/1/2007,,OTHER,1134,1134,278
13,8,"MS10A,MS10B",,,750,,1/1/1995,9/30/2007,,365,855,278
15,8,CS0DAN,1,,350,RECT,1/1/1995,8/24/2015,OTHER,318,452,278
16,8,CS0DAN,1,,350,RECT,1/1/1995,8/24/2015,OTHER,318,452,278
17,8,CS0DCN,0,0,750,ROUND,10/1/2007,,OTHER,1134,1134,278
17,8,"MS8A,MS8B",,,750,,1/1/1995,9/30/2007,,117,855,278
18,8,CS0DCN,0,0,750,ROUND,10/1/2007,,OTHER,1134,1134,278
18,8,"MS9A,MS9B",,,750,,1/1/1995,9/30/2007,,117,855,278
19,10,1,,,500,,1/1/2009,,,,,103
19,10,1,1,0,500,RECT,3/1/1994,12/31/2008,OTHER,140,642,103
19,10,CS0EBN,0,0,500,ROUND,1/1/2009,,BRICK,140,642,103
20,10,2,0,0,500,,1/1/2009,,,,,103
20,10,2,1,0,500,RECT,3/1/1994,12/31/2008,OTHER,642,,103
20,10,CS0EBN,0,0,500,ROUND,1/1/2009,,BRICK,140,642,103
